pid,sid,date,lat,lon,temp,rh,elv,solar,ndvi,t_adult,t_nymph,fid
1,CM023,10/27/2017,40.92186,-73.47159,,,31.79999924,4027.060059,0.198530003,13,0,22
1,CM024,10/27/2017,40.92183,-73.47164,,,30.84499931,3827.949951,0.250315011,8,0,23
1,CM025,10/27/2017,40.9217,-73.47182,,,27.97999954,3787.209961,0.253284991,14,0,24
1,CM026,10/27/2017,40.92181,-73.47188,,,27.70999908,5211.470215,0.140396997,11,0,25
1,CM027,10/27/2017,40.92158,-73.47198,,,26.84000015,2326.320068,0.019242199,10,0,26
1,CM028,10/27/2017,40.92178,-73.47204,,,26.62999916,3289.719971,0.137059003,2,0,27
1,CM029,4/26/2018,40.921666,-73.470335,74.3,25.7,34.65999985,3940.030029,-0.138534993,6,0,28
1,CM030,4/26/2018,40.925077,-73.471588,71.7,27.3,33.47000122,4513.549805,0.226431996,10,0,29
1,CM031,4/26/2018,40.925322,-73.472028,77.5,25.4,33.11999893,3606.080078,0.277478993,31,0,30
1,CM032,5/24/2018,40.923101,-73.470134,76.23333333,21.56666667,35.54999924,4036.889893,0.127351999,2,0,31
1,CM033,5/24/2018,40.923846,-73.470582,76.16666667,23.4,34.20999908,3461.919922,0.340487987,5,0,32
1,CM034,5/24/2018,40.92461,-73.471315,77.2,21.53333333,33.74000168,2622.669922,0.210154995,3,0,33
1,CM035,5/24/2018,40.92485,-73.471616,74.76666667,28.3,33.04999924,3832.399902,0.256155014,5,0,34
1,CM036,5/24/2018,40.925099,-73.472105,77.5,24.23333333,33.31999969,2651.939941,0.327273995,13,0,35
1,CM037,5/24/2018,40.924911,-73.472648,81,17.4,30.03000069,4056.840088,0.319656998,18,0,36
1,CM038,5/24/2018,40.924772,-73.472922,82.5,18.93333333,30.56999969,5252.740234,0.183162004,3,0,37
1,CM039,5/24/2018,40.925381,-73.47189,80.3,20.76666667,34.25,4288.72998,0.054339301,5,0,38
1,CM040,6/7/2018,40.933458,-73.462179,68.73333333,49.1,6.090000153,3679.540039,0.192259997,1,14,39
1,CM041,6/7/2018,40.933528,-73.462123,65.23333333,59.66666667,6.320000172,3396.169922,0.254806995,1,15,40
1,CM042,6/7/2018,40.933438,-73.463083,67.43333333,59.03333333,7.920000076,4303.310059,0.327131987,1,19,41
1,CM043,6/7/2018,40.933383,-73.463131,68.53333333,56.8,8.720000267,3738.139893,0.300096005,4,8,42
1,CM044,6/7/2018,40.933304,-73.463178,69.56666667,54.5,9.239999771,3846.25,0.223261997,2,17,43
1,CM045,6/7/2018,40.933385,-73.463336,69.6,49.6,9.619999886,4197.040039,0.217740998,1,13,44
1,CM046,6/7/2018,40.933428,-73.463123,71.13333333,50.53333333,8.239999771,4038.98999,0.312440008,0,15,45
2,CR001,11/1/2017,40.7514,-73.14589,,,2.00999999,1028.040039,0.486633003,2,0,46
2,CR002,11/1/2017,40.75203,-73.14612,,,2.069999933,4199.72998,0.124623001,4,0,47
2,CR003,11/1/2017,40.7523,-73.14631,,,2.579999924,6444.720215,0.252779007,1,0,48
2,CR004,11/1/2017,40.75269,-73.14647,,,2.24000001,5426.950195,0.512254,6,0,49
2,CR005,11/1/2017,40.75302,-73.14644,,,1.679999948,1285.530029,0.483319998,9,0,50
2,CR006,11/1/2017,40.75365,-73.14672,,,2.559999943,1129.880005,0.280885994,3,0,51
2,CR007,11/1/2017,40.75383,-73.14678,,,2.619999886,6424.830078,0.515865982,3,0,52
2,CR008,11/1/2017,40.75432,-73.14695,,,2.559999943,4133.509766,0.498748004,13,0,53
2,CR009,11/1/2017,40.75445,-73.14698,,,2.519999981,982.6329956,0.475403994,4,0,54
2,CR010,11/1/2017,40.75466,-73.14696,,,2.480000019,1660.560059,0.472151011,13,0,55
2,CR011,11/1/2017,40.75483,-73.14695,,,2.599999905,8476.320313,0.439238012,4,0,56
2,CR012,11/1/2017,40.75483,-73.14695,,,2.599999905,8476.320313,0.439238012,6,0,57
2,CR013,11/1/2017,40.75514,-73.14692,,,2.480000019,2555.540039,0.309612006,9,0,58
2,CR014,11/1/2017,40.75535,-73.14695,,,2.74000001,1057.199951,0.481633991,26,0,59
2,CR015,11/1/2017,40.75556,-73.14704,,,2.769999981,3588.72998,0.471603006,3,0,60
2,CR016,11/1/2017,40.75575,-73.1471,,,2.829999924,7851.629883,0.446372002,5,0,61
2,CR017,11/1/2017,40.75593,-73.14716,,,2.99000001,1659.069946,0.432094991,4,0,62
2,CR018,11/1/2017,40.75641,-73.1471,,,2.910000086,1019.98999,0.419447005,4,0,63
2,CR019,11/1/2017,40.75679,-73.14684,,,3.480000019,5734.430176,0.466163009,2,0,64
2,CR020,11/1/2017,40.75705,-73.14748,,,2.619999886,7916.350098,0.464370012,6,0,65
2,CR021,11/1/2017,40.75727,-73.14762,,,2.25,5211.209961,0.501043022,5,0,66
2,CR022,11/1/2017,40.75738,-73.14746,,,2.680000067,6777.779785,0.471329004,13,0,67
2,CR023,11/1/2017,40.75758,-73.14763,,,2.420000076,426.0589905,0.400905997,8,0,68
2,CR024,11/1/2017,40.75782,-73.14758,,,2.480000019,4404.430176,0.454277992,3,0,69
2,CR025,11/1/2017,40.75802,-73.14748,,,2.430000067,6309.169922,0.435534,2,0,70
2,CR026,11/1/2017,40.75814,-73.14767,,,2.50999999,8212.070313,0.478024989,3,0,71
2,CR027,11/1/2017,40.75853,-73.14779,,,2.940000057,5492.799805,0.509820998,10,0,72
2,CR028,11/1/2017,40.75873,-73.14776,,,3.49000001,6736.529785,0.452021003,10,0,73
2,CR029,11/1/2017,40.75912,-73.14778,,,3.400000095,1834.5,0.435591996,10,0,74
2,CR030,11/1/2017,40.75905,-73.14774,,,3.529999971,1293.859985,0.459356993,5,0,75
2,CR031,11/1/2017,40.75941,-73.14774,,,4.17332983,1062.829956,0.443861008,13,0,76
2,CR032,5/4/2018,40.753447,-73.14632,68.9,60.7,2.799999952,4447.97998,0.530139029,8,0,77
2,CR033,5/4/2018,40.753713,-73.146804,75.03333333,62.83333333,2.839999914,1995.160034,0.469368994,4,0,78
2,CR034,5/4/2018,40.754271,-73.146989,77.86666667,62.5,2.549999952,4640.649902,0.468647003,3,0,79
2,CR035,5/4/2018,40.754472,-73.147049,70.36666667,63.96666667,2.50999999,2854.610107,0.466013014,5,0,80
2,CR036,5/4/2018,40.756235,-73.147166,70.43333333,60.6,2.75999999,4739.919922,0.419707,10,0,81
2,CR037,5/4/2018,40.756511,-73.146688,74.4,59.36666667,3.450000048,4170.870117,0.433521003,4,0,82
2,CR038,5/4/2018,40.756905,-73.147466,72.6,58.8,2.880000114,4368.379883,0.525964022,5,0,83
2,CR039,5/4/2018,40.757683,-73.147617,73.76666667,58.36666667,2.440000057,2826.040039,0.367514014,8,0,84
2,CR040,5/4/2018,40.759382,-73.147631,71.93333333,56.93333333,3.819999933,3563.5,0.422127992,38,0,85
2,CR041,5/4/2018,40.7602,-73.147592,73.1,57.16666667,3.75999999,3478.280029,0.445921004,70,0,86
2,CR042,5/4/2018,40.759934,-73.147078,74.76666667,54.9,4.17332983,2734.929932,0.257371008,7,0,87
3,RK002,11/15/2017,41.11112,-73.839,28.3,39.5,98.79109955,578.5040283,0.494996011,2,0,88
3,RK003,11/15/2017,41.11084,-73.83914,27,41.8,98.90209961,438.8500061,0.411361009,6,0,89
3,RK004,11/15/2017,41.1109,-73.83919,25.8,40.3,99.12110138,575.3330078,0.426169008,6,0,90
3,RK005,11/15/2017,41.11081,-73.83945,26.5,39.2,96.54309845,228.2669983,0.449777007,3,0,91
3,RK006,11/15/2017,41.11075,-73.83953,24.4,38,95.58470154,291.7120056,0.414626986,5,0,92
3,RK007,11/15/2017,41.11061,-73.83967,25.2,41.4,93.47609711,258.0679932,0.463099003,4,0,93
3,RK008,11/15/2017,41.1105,-73.83992,26.2,39.4,91.41249847,336.9429932,0.454834998,0,0,94
3,RK009,11/15/2017,41.11055,-73.84004,24.3,40.1,90.97360229,320.6640015,0.475796998,1,0,95
3,RK010,11/15/2017,41.11048,-73.84019,26,38.8,91.35240173,143.7449951,0.443641007,2,0,96
3,RK011,11/15/2017,41.1105,-73.84008,24.3,37.5,91.56790161,299.7929993,0.438372999,0,0,97
3,RK012,11/15/2017,41.11029,-73.84024,25.2,39.3,93.58059692,220.5180054,0.445288002,5,0,98
3,RK013,11/15/2017,41.11018,-73.84042,24.9,35.9,93.70179749,259.0950012,0.446718007,2,0,99
3,RK014,11/15/2017,41.11012,-73.84032,23.4,38.3,93.41470337,121.9840012,0.433005989,3,0,100
3,RK015,11/15/2017,41.11023,-73.84057,25.7,38.3,94.41139984,98.20659637,0.468207985,2,0,101
3,RK016,11/15/2017,41.11003,-73.84093,26.8,36.6,92.71890259,254.0700073,0.461856008,3,0,102
3,RK017,11/15/2017,41.10999,-73.8409,26.2,34.6,92.49710083,670.7800293,0.436518013,0,0,103
3,RK018,11/15/2017,41.11,-73.84074,23.3,38.3,93.66889954,76.76080322,0.443241,3,0,104
3,RK019,11/15/2017,41.11002,-73.84114,27.2,45.5,92.53079987,140.7640076,0.449788988,0,0,105
3,RK020,11/15/2017,41.10995,-73.84099,27.2,45,92.04219818,281.7659912,0.45133999,0,0,106
3,RK021,11/15/2017,41.10986,-73.8411,27.8,45.2,90.99279785,332.894989,0.436084986,3,0,107
3,RK022,11/15/2017,41.10992,-73.84124,28.2,45,91.50330353,531.8790283,0.448938012,0,0,108
3,RK023,11/15/2017,41.10974,-73.84118,29,45.7,89.93669891,55.25839996,0.506694019,1,0,109
3,RK024,11/15/2017,41.10961,-73.8412,29.9,47.9,88.39299774,332.8309937,0.448958009,0,0,110
3,RK025,11/15/2017,41.10966,-73.84119,28.5,49.5,88.72889709,306.3160095,0.443935007,2,0,111
3,RK026,11/15/2017,41.10953,-73.84134,28.4,52.1,87.86340332,169.5110016,0.426697999,2,0,112
3,RK027,11/15/2017,41.10935,-73.84127,29.3,52.7,84.90249634,256.5069885,0.45420301,3,0,113
3,RK028,11/15/2017,41.10923,-73.84145,29.4,53.3,81.61560059,281.144989,0.423128009,2,0,114
3,RK029,11/15/2017,41.10909,-73.84144,30.1,53.2,79.62390137,329.1470032,0.481350988,4,0,115
3,RK030,11/15/2017,41.10919,-73.84128,29.3,44.9,82.89459991,316.1130066,0.458388001,4,0,116
3,RK031,11/15/2017,41.10913,-73.84131,28.8,48.3,82.06439972,338.5570068,0.452271998,7,0,117
3,RK032,11/15/2017,41.10885,-73.84141,29.1,51.8,80.96309662,346.2090149,0.422143012,4,0,118
3,RK033,11/15/2017,41.10883,-73.84138,31.2,50.6,80.76719666,569.6010132,0.435036987,4,0,119
3,RK034,11/15/2017,41.10884,-73.84145,29.9,46.1,80.95030212,187.7350006,0.416613013,0,0,120
3,RK035,11/15/2017,41.10867,-73.84152,29.9,46.6,81.81880188,179.8840027,0.44738999,1,0,121
3,RK036,11/15/2017,41.10864,-73.84156,30,44.6,82.20960236,250.427002,0.455682009,2,0,122
3,RK037,11/15/2017,41.10852,-73.84168,29.8,45.4,82.10109711,221.7079926,0.416745991,2,0,123
4,FI001,6/14/2018,40.632446,-73.217762,82.4,26.8,1.254999995,4256.410156,0.078787901,0,0,124
4,FI002,6/14/2018,40.635732,-73.208786,80.5,37.13333333,0.75,4287.819824,0.00254453,0,2,125
4,FI003,6/14/2018,40.635457,-73.20868,85.5,29.23333333,0.589999974,4247.319824,0.226026997,0,2,126
4,FI004,6/14/2018,40.634885,-73.208088,87.93333333,28.33333333,1.279999971,4027.679932,0.00510204,0,0,127
